"agreement_label","agreement_confidence","comment_id","topic","error"
"Neither/Unclear",0.6,"racial_comment_136263","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136360","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_136392","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_136422","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_136488","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_136361","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136437","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136560","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_136648","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_136595","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_136573","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136749","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_136574","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136708","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.78,"racial_comment_136466","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_136751","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_136750","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_136769","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136752","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136768","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_136770","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_136783","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136856","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_136875","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_136966","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_136857","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136938","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136874","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136877","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_136987","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_137041","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_137049","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_137042","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_137043","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_137074","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_137077","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_137075","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_137068","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_137067","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_137114","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_137076","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_137086","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_137115","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_137128","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_137131","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_137169","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_137132","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_137088","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_136010","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_137170","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_137399","Population Growth and Economic Implications",NA
"Disagree",0.95,"racial_comment_137343","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_137414","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_137401","Population Growth and Economic Implications",NA
"Agree",0.92,"racial_comment_137410","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_137415","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_137426","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_137441","Affordable Housing and Demographic Shifts",NA
"Disagree",0.92,"racial_comment_137625","Political Polarization in Immigration Policies",NA
"Disagree",0.88,"racial_comment_137440","Affordable Housing and Demographic Shifts",NA
"Agree",0.92,"racial_comment_137500","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_137429","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.78,"racial_comment_137442","Affordable Housing and Demographic Shifts",NA
"Neither/Unclear",0.6,"racial_comment_137548","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_137705","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_137645","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_137696","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_137646","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_137801","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_137745","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_137706","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_137694","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_137851","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_137805","Diversity and Immigration in North America",NA
"Disagree",0.9,"racial_comment_137413","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_137798","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_137797","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_137893","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_137882","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_137933","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_137966","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_137891","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138027","Diversity and Immigration in North America",NA
"Neither/Unclear",0.5,"racial_comment_138028","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138015","Asian Population Dynamics and Implications",NA
"Disagree",0.95,"racial_comment_137901","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_137931","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_138155","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138065","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138220","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138130","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138250","Political Polarization in Immigration Policies",NA
"Mixed/Ambiguous",0.78,"racial_comment_138248","Political Polarization in Immigration Policies",NA
"Mixed/Ambiguous",0.7,"racial_comment_138336","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_138351","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138399","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_138484","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_138359","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_138538","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_138441","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138409","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_138506","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138550","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138410","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_138641","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138616","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_138528","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.65,"racial_comment_138643","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_138644","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138549","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_138687","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_138801","Electoral Impact of Urban Demographic Shifts",NA
"Disagree",0.92,"racial_comment_138734","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_138745","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_138798","Electoral Impact of Urban Demographic Shifts",NA
"Mixed/Ambiguous",0.65,"racial_comment_138840","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_138858","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_138839","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_138891","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_138890","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_138931","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_138350","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_138873","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_138976","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_139019","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_139005","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_139083","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_139069","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_139098","Diversity and Immigration in North America",NA
"Neither/Unclear",0.5,"racial_comment_139133","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_139021","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_139242","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_139162","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_139163","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_139377","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_139244","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_139331","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_139245","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_139605","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_139219","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_139546","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.65,"racial_comment_139170","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_139243","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_139537","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_139380","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_139381","Diversity and Immigration in North America",NA
"Neither/Unclear",0.7,"racial_comment_139639","Asian Population Dynamics and Implications",NA
"Agree",0.88,"racial_comment_139721","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_139670","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_139720","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_139804","Diversity and Immigration in North America",NA
"Disagree",0.88,"racial_comment_139729","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_139853","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_139903","Population Growth and Economic Implications",NA
"Neither/Unclear",0.65,"racial_comment_139825","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_139905","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_139732","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_139906","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_139817","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_139944","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_139928","Population Growth and Economic Implications",NA
"Disagree",0.95,"racial_comment_139910","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_139961","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.65,"racial_comment_139974","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_139997","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_140026","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_139728","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_140195","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_139979","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_139999","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_140028","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_140207","Population Growth and Economic Implications",NA
"Agree",0.97,"racial_comment_140217","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_140075","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_140208","Population Growth and Economic Implications",NA
"Disagree",0.85,"racial_comment_140311","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_140340","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_140312","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_140299","Diversity and Immigration in North America",NA
"Disagree",0.99,"racial_comment_140302","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_140452","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_140346","Electoral Impact of Urban Demographic Shifts",NA
"Disagree",0.92,"racial_comment_140339","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_140338","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_140356","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_140355","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_140367","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_140536","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_140537","Population Growth and Economic Implications",NA
"Disagree",0.9,"racial_comment_140556","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_140538","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_140194","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_140611","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_140710","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_140607","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_140625","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_140626","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_140758","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_140641","Unintended Consequences of Woke Discourse",NA
"Disagree",0.92,"racial_comment_140627","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_140596","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_140769","Diversity and Immigration in North America",NA
"Neither/Unclear",0.5,"racial_comment_140714","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_140797","Affordable Housing and Demographic Shifts",NA
"Disagree",0.92,"racial_comment_140612","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_140767","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_140805","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.65,"racial_comment_140874","Population Growth and Economic Implications",NA
"Disagree",0.92,"racial_comment_141018","Population Growth and Economic Implications",NA
"Disagree",0.95,"racial_comment_140837","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.78,"racial_comment_140894","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_140985","Diversity and Immigration in North America",NA
"Neither/Unclear",0.7,"racial_comment_140893","Diversity and Immigration in North America",NA
"Agree",0.88,"racial_comment_141017","Population Growth and Economic Implications",NA
"Disagree",0.95,"racial_comment_140961","Population Growth and Economic Implications",NA
"Neither/Unclear",0.5,"racial_comment_141294","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_141020","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.78,"racial_comment_141234","Population Growth and Economic Implications",NA
"Neither/Unclear",0.6,"racial_comment_141042","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_141043","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_141325","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_141578","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_141435","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.85,"racial_comment_141538","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_141602","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_141539","Diversity and Immigration in North America",NA
"Disagree",0.85,"racial_comment_141403","Diversity and Immigration in North America",NA
"Neither/Unclear",0.5,"racial_comment_141690","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_141601","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_141579","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_141612","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_141692","Diversity and Immigration in North America",NA
"Neither/Unclear",0.6,"racial_comment_141405","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_141932","Diversity and Immigration in North America",NA
"Agree",0.92,"racial_comment_141767","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_141768","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_141936","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_141978","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_141327","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_141938","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.78,"racial_comment_142073","Diversity and Immigration in North America",NA
"Disagree",0.92,"racial_comment_142071","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_142009","Diversity and Immigration in North America",NA
"Agree",0.85,"racial_comment_142172","Population Growth and Economic Implications",NA
"Mixed/Ambiguous",0.7,"racial_comment_141769","Diversity and Immigration in North America",NA
"Disagree",0.95,"racial_comment_142173","Population Growth and Economic Implications",NA
"Agree",0.85,"racial_comment_142192","Population Growth and Economic Implications",NA
"Disagree",0.88,"racial_comment_142008","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.65,"racial_comment_142138","Population Growth and Economic Implications",NA
"Agree",0.92,"racial_comment_142174","Population Growth and Economic Implications",NA
"Agree",0.92,"racial_comment_142230","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_142229","Diversity and Immigration in North America",NA
"Mixed/Ambiguous",0.7,"racial_comment_142231","Diversity and Immigration in North America",NA
