"stance_label","stance_confidence","comment_id","error"
"Neutral/Unclear",0.9,"climate_comment_218064",NA
"Neutral/Unclear",0.85,"climate_comment_236999",NA
"Neutral/Unclear",0.9,"climate_comment_197538",NA
"Neutral/Unclear",0.85,"climate_comment_219229",NA
"Neutral/Unclear",0.95,"climate_comment_219230",NA
"Climate Believer",0.85,"climate_comment_176693",NA
"Neutral/Unclear",0.85,"climate_comment_202126",NA
"Climate Believer",0.9,"climate_comment_223002",NA
"Neutral/Unclear",0.95,"climate_comment_193254",NA
"Climate Skeptic",0.85,"climate_comment_210920",NA
"Neutral/Unclear",0.85,"climate_comment_259263",NA
"Neutral/Unclear",0.95,"climate_comment_237147",NA
"Neutral/Unclear",0.75,"climate_comment_178706",NA
"Climate Skeptic",0.85,"climate_comment_182727",NA
"Neutral/Unclear",0.9,"climate_comment_171814",NA
"Neutral/Unclear",0.85,"climate_comment_219948",NA
"Climate Skeptic",0.85,"climate_comment_267884",NA
"Neutral/Unclear",0.9,"climate_comment_171815",NA
"Neutral/Unclear",0.85,"climate_comment_275441",NA
"Climate Skeptic",0.85,"climate_comment_197414",NA
"Neutral/Unclear",0.85,"climate_comment_179819",NA
"Neutral/Unclear",0.85,"climate_comment_238486",NA
"Climate Skeptic",0.85,"climate_comment_233995",NA
"Neutral/Unclear",0.85,"climate_comment_233994",NA
"Neutral/Unclear",0.95,"climate_comment_187130",NA
"Neutral/Unclear",0.95,"climate_comment_222982",NA
"Neutral/Unclear",0.85,"climate_comment_170170",NA
"Neutral/Unclear",0.9,"climate_comment_222985",NA
"Neutral/Unclear",0.9,"climate_comment_222983",NA
"Climate Believer",0.9,"climate_comment_232213",NA
"Neutral/Unclear",0.9,"climate_comment_248150",NA
"Neutral/Unclear",0.9,"climate_comment_171656",NA
"Climate Believer",0.9,"climate_comment_219173",NA
"Climate Skeptic",0.85,"climate_comment_187740",NA
"Neutral/Unclear",0.85,"climate_comment_214508",NA
"Neutral/Unclear",0.9,"climate_comment_219164",NA
"Neutral/Unclear",0.85,"climate_comment_215207",NA
"Neutral/Unclear",0.95,"climate_comment_214136",NA
"Neutral/Unclear",0.85,"climate_comment_187741",NA
"Neutral/Unclear",0.9,"climate_comment_215208",NA
"Neutral/Unclear",0.9,"climate_comment_270046",NA
"Neutral/Unclear",0.85,"climate_comment_243414",NA
"Neutral/Unclear",0.85,"climate_comment_239147",NA
"Neutral/Unclear",0.9,"climate_comment_279247",NA
"Climate Skeptic",0.85,"climate_comment_211267",NA
"Climate Skeptic",0.85,"climate_comment_256403",NA
"Neutral/Unclear",0.9,"climate_comment_179802",NA
"Neutral/Unclear",0.9,"climate_comment_229945",NA
"Neutral/Unclear",0.85,"climate_comment_176552",NA
"Neutral/Unclear",0.9,"climate_comment_209915",NA
"Neutral/Unclear",0.9,"climate_comment_226523",NA
"Neutral/Unclear",0.85,"climate_comment_204136",NA
"Climate Believer",0.85,"climate_comment_250144",NA
"Neutral/Unclear",0.95,"climate_comment_213560",NA
"Climate Believer",0.9,"climate_comment_259545",NA
"Neutral/Unclear",0.9,"climate_comment_177850",NA
"Neutral/Unclear",0.95,"climate_comment_259546",NA
"Neutral/Unclear",0.85,"climate_comment_252138",NA
"Climate Skeptic",0.85,"climate_comment_220322",NA
"Neutral/Unclear",0.95,"climate_comment_213559",NA
"Neutral/Unclear",0.85,"climate_comment_258626",NA
"Climate Believer",0.85,"climate_comment_187739",NA
"Neutral/Unclear",0.85,"climate_comment_258627",NA
"Climate Skeptic",0.95,"climate_comment_168941",NA
"Neutral/Unclear",0.85,"climate_comment_203608",NA
"Neutral/Unclear",0.85,"climate_comment_273437",NA
"Neutral/Unclear",0.85,"climate_comment_218120",NA
"Neutral/Unclear",0.85,"climate_comment_209041",NA
"Neutral/Unclear",0.9,"climate_comment_168940",NA
"Neutral/Unclear",0.85,"climate_comment_278766",NA
"Neutral/Unclear",0.9,"climate_comment_220503",NA
"Climate Skeptic",0.9,"climate_comment_234669",NA
"Neutral/Unclear",0.85,"climate_comment_234668",NA
"Climate Believer",0.9,"climate_comment_280119",NA
"Neutral/Unclear",0.85,"climate_comment_218116",NA
"Neutral/Unclear",0.85,"climate_comment_243407",NA
"Neutral/Unclear",0.85,"climate_comment_243406",NA
"Neutral/Unclear",0.95,"climate_comment_237137",NA
"Neutral/Unclear",0.95,"climate_comment_202575",NA
"Neutral/Unclear",0.85,"climate_comment_223167",NA
"Climate Believer",0.9,"climate_comment_234823",NA
"Neutral/Unclear",0.85,"climate_comment_243409",NA
"Neutral/Unclear",0.9,"climate_comment_247809",NA
"Neutral/Unclear",0.85,"climate_comment_219762",NA
"Neutral/Unclear",0.85,"climate_comment_214813",NA
"Neutral/Unclear",0.85,"climate_comment_169422",NA
"Climate Skeptic",0.85,"climate_comment_251395",NA
"Neutral/Unclear",0.85,"climate_comment_225494",NA
"Neutral/Unclear",0.85,"climate_comment_178041",NA
"Neutral/Unclear",0.9,"climate_comment_214814",NA
"Climate Skeptic",0.85,"climate_comment_237391",NA
"Climate Believer",0.85,"climate_comment_225264",NA
"Neutral/Unclear",0.85,"climate_comment_243411",NA
"Neutral/Unclear",0.85,"climate_comment_170553",NA
"Neutral/Unclear",0.9,"climate_comment_214816",NA
"Neutral/Unclear",0.85,"climate_comment_212712",NA
"Climate Skeptic",0.95,"climate_comment_176385",NA
"Neutral/Unclear",0.75,"climate_comment_220834",NA
"Neutral/Unclear",0.85,"climate_comment_259040",NA
"Climate Skeptic",0.85,"climate_comment_200449",NA
"Neutral/Unclear",0.85,"climate_comment_259039",NA
"Neutral/Unclear",0.85,"climate_comment_279780",NA
"Neutral/Unclear",0.85,"climate_comment_259041",NA
"Neutral/Unclear",0.9,"climate_comment_255992",NA
"Climate Skeptic",0.85,"climate_comment_178781",NA
"Climate Believer",0.85,"climate_comment_171448",NA
"Climate Skeptic",0.95,"climate_comment_180361",NA
"Neutral/Unclear",0.85,"climate_comment_237448",NA
"Climate Skeptic",0.75,"climate_comment_194189",NA
"Climate Skeptic",0.95,"climate_comment_265599",NA
"Climate Skeptic",0.95,"climate_comment_235635",NA
"Neutral/Unclear",0.85,"climate_comment_204838",NA
"Climate Skeptic",0.85,"climate_comment_200172",NA
"Climate Believer",0.85,"climate_comment_252254",NA
"Neutral/Unclear",0.85,"climate_comment_247006",NA
"Neutral/Unclear",0.9,"climate_comment_274014",NA
"Climate Believer",0.9,"climate_comment_229172",NA
"Climate Believer",0.85,"climate_comment_244872",NA
"Climate Skeptic",0.95,"climate_comment_244874",NA
"Climate Skeptic",0.95,"climate_comment_267163",NA
"Neutral/Unclear",0.95,"climate_comment_196096",NA
"Neutral/Unclear",0.85,"climate_comment_259721",NA
"Climate Believer",0.85,"climate_comment_193686",NA
"Climate Believer",0.85,"climate_comment_178594",NA
"Climate Skeptic",0.85,"climate_comment_269869",NA
"Neutral/Unclear",0.85,"climate_comment_241761",NA
"Climate Skeptic",0.85,"climate_comment_256404",NA
"Neutral/Unclear",0.95,"climate_comment_191810",NA
"Climate Believer",0.85,"climate_comment_272296",NA
"Neutral/Unclear",0.85,"climate_comment_172729",NA
"Neutral/Unclear",0.85,"climate_comment_241762",NA
"Climate Believer",0.9,"climate_comment_265818",NA
"Neutral/Unclear",0.85,"climate_comment_227753",NA
"Neutral/Unclear",0.85,"climate_comment_265820",NA
"Neutral/Unclear",0.75,"climate_comment_200771",NA
"Climate Skeptic",0.85,"climate_comment_263975",NA
"Climate Believer",0.85,"climate_comment_265819",NA
"Neutral/Unclear",0.85,"climate_comment_216983",NA
"Neutral/Unclear",0.85,"climate_comment_229868",NA
"Neutral/Unclear",0.95,"climate_comment_250656",NA
"Neutral/Unclear",0.85,"climate_comment_216881",NA
"Climate Believer",0.85,"climate_comment_169403",NA
"Climate Believer",0.9,"climate_comment_250616",NA
"Climate Believer",0.9,"climate_comment_210845",NA
"Neutral/Unclear",0.75,"climate_comment_181766",NA
"Neutral/Unclear",0.95,"climate_comment_173267",NA
"Neutral/Unclear",0.95,"climate_comment_173268",NA
"Climate Skeptic",0.85,"climate_comment_222063",NA
"Neutral/Unclear",0.85,"climate_comment_173269",NA
"Climate Skeptic",0.85,"climate_comment_174004",NA
"Climate Believer",0.9,"climate_comment_207963",NA
"Neutral/Unclear",0.95,"climate_comment_279315",NA
"Neutral/Unclear",0.75,"climate_comment_213703",NA
"Neutral/Unclear",0.95,"climate_comment_277027",NA
"Neutral/Unclear",0.85,"climate_comment_272308",NA
"Neutral/Unclear",0.85,"climate_comment_265822",NA
"Neutral/Unclear",0.95,"climate_comment_242108",NA
"Neutral/Unclear",0.95,"climate_comment_187959",NA
"Climate Believer",0.9,"climate_comment_238285",NA
"Neutral/Unclear",0.75,"climate_comment_204593",NA
"Neutral/Unclear",0.95,"climate_comment_226975",NA
"Neutral/Unclear",0.95,"climate_comment_227585",NA
"Neutral/Unclear",0.9,"climate_comment_207720",NA
"Neutral/Unclear",0.9,"climate_comment_270667",NA
"Neutral/Unclear",0.85,"climate_comment_232753",NA
"Neutral/Unclear",0.85,"climate_comment_270669",NA
"Neutral/Unclear",0.9,"climate_comment_274151",NA
"Neutral/Unclear",0.85,"climate_comment_192053",NA
"Neutral/Unclear",0.9,"climate_comment_226186",NA
"Neutral/Unclear",0.85,"climate_comment_261274",NA
"Neutral/Unclear",0.95,"climate_comment_221606",NA
"Neutral/Unclear",0.75,"climate_comment_259946",NA
"Neutral/Unclear",0.85,"climate_comment_258190",NA
"Neutral/Unclear",0.85,"climate_comment_245072",NA
"Neutral/Unclear",0.85,"climate_comment_179682",NA
"Climate Believer",0.85,"climate_comment_206556",NA
"Climate Skeptic",0.85,"climate_comment_275630",NA
"Neutral/Unclear",0.9,"climate_comment_259425",NA
"Climate Believer",0.85,"climate_comment_175386",NA
"Neutral/Unclear",0.95,"climate_comment_179324",NA
"Climate Believer",0.85,"climate_comment_209466",NA
"Neutral/Unclear",0.85,"climate_comment_183694",NA
"Neutral/Unclear",0.75,"climate_comment_241677",NA
"Climate Believer",0.9,"climate_comment_181938",NA
"Climate Believer",0.85,"climate_comment_187697",NA
"Climate Believer",0.85,"climate_comment_269198",NA
"Climate Believer",0.85,"climate_comment_188138",NA
"Neutral/Unclear",0.95,"climate_comment_177006",NA
"Climate Skeptic",0.85,"climate_comment_221609",NA
"Neutral/Unclear",0.95,"climate_comment_189916",NA
"Neutral/Unclear",0.95,"climate_comment_209885",NA
"Neutral/Unclear",0.95,"climate_comment_262444",NA
"Neutral/Unclear",0.95,"climate_comment_253018",NA
"Neutral/Unclear",0.85,"climate_comment_228718",NA
"Climate Skeptic",0.85,"climate_comment_180972",NA
"Neutral/Unclear",0.95,"climate_comment_262018",NA
"Neutral/Unclear",0.95,"climate_comment_187257",NA
"Neutral/Unclear",0.85,"climate_comment_274367",NA
"Neutral/Unclear",0.95,"climate_comment_180591",NA
"Neutral/Unclear",0.85,"climate_comment_177110",NA
"Climate Believer",0.85,"climate_comment_232535",NA
"Climate Believer",0.9,"climate_comment_207024",NA
"Climate Skeptic",0.85,"climate_comment_172258",NA
"Neutral/Unclear",0.95,"climate_comment_225598",NA
"Neutral/Unclear",0.95,"climate_comment_247581",NA
"Neutral/Unclear",0.95,"climate_comment_263517",NA
"Neutral/Unclear",0.85,"climate_comment_191389",NA
"Climate Skeptic",0.85,"climate_comment_280581",NA
"Neutral/Unclear",0.85,"climate_comment_264357",NA
"Climate Skeptic",0.9,"climate_comment_261968",NA
"Neutral/Unclear",0.95,"climate_comment_233529",NA
"Climate Skeptic",0.85,"climate_comment_189327",NA
"Climate Believer",0.85,"climate_comment_200840",NA
"Neutral/Unclear",0.95,"climate_comment_256481",NA
"Neutral/Unclear",0.9,"climate_comment_241740",NA
"Neutral/Unclear",0.95,"climate_comment_263880",NA
"Neutral/Unclear",0.85,"climate_comment_187389",NA
"Neutral/Unclear",0.9,"climate_comment_272758",NA
"Neutral/Unclear",0.85,"climate_comment_201379",NA
"Neutral/Unclear",0.95,"climate_comment_174289",NA
"Neutral/Unclear",0.85,"climate_comment_255116",NA
"Neutral/Unclear",0.85,"climate_comment_235491",NA
"Climate Believer",0.85,"climate_comment_248629",NA
"Neutral/Unclear",0.85,"climate_comment_237555",NA
"Neutral/Unclear",0.95,"climate_comment_225804",NA
"Neutral/Unclear",0.85,"climate_comment_170128",NA
"Neutral/Unclear",0.85,"climate_comment_232815",NA
"Neutral/Unclear",0.85,"climate_comment_214773",NA
"Neutral/Unclear",0.95,"climate_comment_188962",NA
"Neutral/Unclear",0.85,"climate_comment_246084",NA
"Neutral/Unclear",0.75,"climate_comment_227638",NA
"Climate Believer",0.85,"climate_comment_173388",NA
"Neutral/Unclear",0.85,"climate_comment_208324",NA
"Neutral/Unclear",0.95,"climate_comment_241171",NA
"Neutral/Unclear",0.85,"climate_comment_245684",NA
"Climate Believer",0.85,"climate_comment_270750",NA
"Neutral/Unclear",0.85,"climate_comment_258321",NA
"Neutral/Unclear",0.85,"climate_comment_199996",NA
"Neutral/Unclear",0.9,"climate_comment_170038",NA
"Neutral/Unclear",0.95,"climate_comment_258725",NA
"Neutral/Unclear",0.9,"climate_comment_241107",NA
"Neutral/Unclear",0.95,"climate_comment_222399",NA
"Neutral/Unclear",0.85,"climate_comment_208994",NA
"Neutral/Unclear",0.95,"climate_comment_240916",NA
"Climate Believer",0.85,"climate_comment_190642",NA
"Neutral/Unclear",0.95,"climate_comment_232995",NA
"Neutral/Unclear",0.85,"climate_comment_252603",NA
"Neutral/Unclear",0.9,"climate_comment_169938",NA
"Neutral/Unclear",0.85,"climate_comment_177655",NA
"Neutral/Unclear",0.95,"climate_comment_259110",NA
"Neutral/Unclear",0.75,"climate_comment_213523",NA
"Neutral/Unclear",0.9,"climate_comment_199871",NA
"Neutral/Unclear",0.9,"climate_comment_263344",NA
"Neutral/Unclear",0.95,"climate_comment_231754",NA
"Neutral/Unclear",0.95,"climate_comment_259111",NA
"Neutral/Unclear",0.85,"climate_comment_262629",NA
"Neutral/Unclear",0.85,"climate_comment_201622",NA
"Climate Skeptic",0.85,"climate_comment_185810",NA
"Neutral/Unclear",0.95,"climate_comment_180347",NA
"Climate Believer",0.85,"climate_comment_229946",NA
"Neutral/Unclear",0.95,"climate_comment_191350",NA
"Neutral/Unclear",0.9,"climate_comment_221529",NA
"Neutral/Unclear",0.75,"climate_comment_170691",NA
"Neutral/Unclear",0.9,"climate_comment_189534",NA
"Neutral/Unclear",0.85,"climate_comment_280255",NA
"Climate Believer",0.95,"climate_comment_193027",NA
"Neutral/Unclear",0.95,"climate_comment_275497",NA
"Climate Skeptic",0.95,"climate_comment_251970",NA
"Neutral/Unclear",0.85,"climate_comment_265639",NA
"Neutral/Unclear",0.9,"climate_comment_177634",NA
"Climate Skeptic",0.85,"climate_comment_261389",NA
"Neutral/Unclear",0.95,"climate_comment_196985",NA
"Neutral/Unclear",0.9,"climate_comment_176430",NA
"Neutral/Unclear",0.9,"climate_comment_209018",NA
"Climate Believer",0.85,"climate_comment_273402",NA
"Climate Skeptic",0.85,"climate_comment_254894",NA
"Climate Skeptic",0.85,"climate_comment_187434",NA
"Neutral/Unclear",0.85,"climate_comment_274868",NA
"Climate Believer",0.85,"climate_comment_248284",NA
"Neutral/Unclear",0.9,"climate_comment_222808",NA
"Climate Believer",0.85,"climate_comment_235669",NA
"Neutral/Unclear",0.85,"climate_comment_233134",NA
"Neutral/Unclear",0.85,"climate_comment_241048",NA
"Neutral/Unclear",0.85,"climate_comment_234267",NA
"Neutral/Unclear",0.85,"climate_comment_247434",NA
"Climate Skeptic",0.85,"climate_comment_261086",NA
"Neutral/Unclear",0.85,"climate_comment_223252",NA
"Neutral/Unclear",0.95,"climate_comment_198860",NA
"Neutral/Unclear",0.95,"climate_comment_275142",NA
"Neutral/Unclear",0.95,"climate_comment_241544",NA
"Neutral/Unclear",0.95,"climate_comment_234268",NA
"Climate Skeptic",0.85,"climate_comment_185288",NA
"Climate Skeptic",0.85,"climate_comment_227571",NA
"Climate Believer",0.85,"climate_comment_234316",NA
"Neutral/Unclear",0.9,"climate_comment_181604",NA
"Climate Skeptic",0.95,"climate_comment_170087",NA
"Neutral/Unclear",0.9,"climate_comment_185241",NA
"Neutral/Unclear",0.85,"climate_comment_185239",NA
"Climate Believer",0.85,"climate_comment_185240",NA
"Neutral/Unclear",0.95,"climate_comment_218263",NA
"Neutral/Unclear",0.9,"climate_comment_260360",NA
"Neutral/Unclear",0.9,"climate_comment_256094",NA
"Climate Believer",0.9,"climate_comment_183146",NA
"Neutral/Unclear",0.85,"climate_comment_183354",NA
"Neutral/Unclear",0.85,"climate_comment_269517",NA
"Climate Skeptic",0.95,"climate_comment_190386",NA
"Neutral/Unclear",0.9,"climate_comment_259713",NA
"Neutral/Unclear",0.85,"climate_comment_201304",NA
"Neutral/Unclear",0.95,"climate_comment_243662",NA
"Neutral/Unclear",0.95,"climate_comment_238922",NA
"Neutral/Unclear",0.9,"climate_comment_229737",NA
"Climate Believer",0.85,"climate_comment_239792",NA
"Neutral/Unclear",0.85,"climate_comment_187609",NA
"Neutral/Unclear",0.9,"climate_comment_260982",NA
"Neutral/Unclear",0.95,"climate_comment_279202",NA
"Neutral/Unclear",0.85,"climate_comment_253180",NA
"Neutral/Unclear",0.85,"climate_comment_215622",NA
"Climate Skeptic",0.85,"climate_comment_219415",NA
"Neutral/Unclear",0.85,"climate_comment_233088",NA
"Neutral/Unclear",0.85,"climate_comment_184281",NA
"Neutral/Unclear",0.85,"climate_comment_213042",NA
"Neutral/Unclear",0.9,"climate_comment_206395",NA
"Neutral/Unclear",0.85,"climate_comment_195071",NA
"Neutral/Unclear",0.85,"climate_comment_188477",NA
"Neutral/Unclear",0.9,"climate_comment_179507",NA
"Climate Skeptic",0.85,"climate_comment_240978",NA
"Neutral/Unclear",0.85,"climate_comment_209314",NA
"Climate Skeptic",0.95,"climate_comment_209161",NA
"Climate Skeptic",0.95,"climate_comment_241245",NA
"Neutral/Unclear",0.85,"climate_comment_178479",NA
"Climate Skeptic",0.85,"climate_comment_250155",NA
"Neutral/Unclear",0.85,"climate_comment_245049",NA
"Climate Believer",0.85,"climate_comment_267244",NA
"Climate Skeptic",0.85,"climate_comment_178097",NA
"Neutral/Unclear",0.85,"climate_comment_239392",NA
"Neutral/Unclear",0.85,"climate_comment_209583",NA
"Neutral/Unclear",0.85,"climate_comment_169412",NA
"Climate Skeptic",0.98,"climate_comment_213930",NA
"Neutral/Unclear",0.85,"climate_comment_217296",NA
"Climate Skeptic",0.95,"climate_comment_272515",NA
"Neutral/Unclear",0.85,"climate_comment_184409",NA
"Climate Skeptic",0.95,"climate_comment_261079",NA
"Climate Skeptic",0.95,"climate_comment_215765",NA
"Climate Skeptic",0.98,"climate_comment_277691",NA
"Neutral/Unclear",0.85,"climate_comment_201817",NA
"Neutral/Unclear",0.95,"climate_comment_183900",NA
"Neutral/Unclear",0.75,"climate_comment_170785",NA
"Neutral/Unclear",0.9,"climate_comment_210388",NA
"Neutral/Unclear",0.85,"climate_comment_232374",NA
"Climate Believer",0.85,"climate_comment_230275",NA
"Climate Believer",0.85,"climate_comment_206386",NA
"Neutral/Unclear",0.9,"climate_comment_190123",NA
"Neutral/Unclear",0.95,"climate_comment_241169",NA
"Neutral/Unclear",0.9,"climate_comment_186204",NA
"Neutral/Unclear",0.85,"climate_comment_243381",NA
"Neutral/Unclear",0.85,"climate_comment_256356",NA
"Climate Skeptic",0.9,"climate_comment_194804",NA
"Climate Believer",0.85,"climate_comment_279204",NA
"Neutral/Unclear",0.95,"climate_comment_240050",NA
"Neutral/Unclear",0.9,"climate_comment_240049",NA
"Climate Skeptic",0.95,"climate_comment_254717",NA
"Neutral/Unclear",0.95,"climate_comment_243857",NA
"Neutral/Unclear",0.95,"climate_comment_215214",NA
"Neutral/Unclear",0.95,"climate_comment_262893",NA
"Climate Skeptic",0.92,"climate_comment_247195",NA
"Neutral/Unclear",0.95,"climate_comment_269249",NA
"Climate Skeptic",0.85,"climate_comment_280800",NA
"Neutral/Unclear",0.75,"climate_comment_213033",NA
"Neutral/Unclear",0.85,"climate_comment_272344",NA
"Neutral/Unclear",0.85,"climate_comment_209215",NA
"Neutral/Unclear",0.85,"climate_comment_269247",NA
"Neutral/Unclear",0.85,"climate_comment_264492",NA
"Neutral/Unclear",0.85,"climate_comment_271545",NA
"Neutral/Unclear",0.85,"climate_comment_184194",NA
"Neutral/Unclear",0.95,"climate_comment_197812",NA
"Neutral/Unclear",0.75,"climate_comment_210472",NA
"Neutral/Unclear",0.85,"climate_comment_271571",NA
"Neutral/Unclear",0.9,"climate_comment_247473",NA
"Neutral/Unclear",0.85,"climate_comment_271572",NA
"Neutral/Unclear",0.75,"climate_comment_275669",NA
"Neutral/Unclear",0.85,"climate_comment_213430",NA
"Neutral/Unclear",0.95,"climate_comment_238705",NA
"Neutral/Unclear",0.95,"climate_comment_197596",NA
"Neutral/Unclear",0.95,"climate_comment_217564",NA
"Climate Skeptic",0.85,"climate_comment_200696",NA
"Neutral/Unclear",0.9,"climate_comment_174843",NA
"Neutral/Unclear",0.95,"climate_comment_229443",NA
"Climate Believer",0.85,"climate_comment_277878",NA
"Neutral/Unclear",0.9,"climate_comment_236261",NA
"Neutral/Unclear",0.95,"climate_comment_250334",NA
"Climate Believer",0.85,"climate_comment_273411",NA
"Neutral/Unclear",0.9,"climate_comment_177371",NA
"Climate Believer",0.85,"climate_comment_184564",NA
"Neutral/Unclear",0.9,"climate_comment_210899",NA
"Neutral/Unclear",0.85,"climate_comment_192201",NA
"Neutral/Unclear",0.9,"climate_comment_242511",NA
"Neutral/Unclear",0.85,"climate_comment_204689",NA
"Neutral/Unclear",0.9,"climate_comment_250853",NA
"Climate Believer",0.85,"climate_comment_205165",NA
"Neutral/Unclear",0.9,"climate_comment_190256",NA
"Neutral/Unclear",0.95,"climate_comment_245813",NA
"Climate Skeptic",0.85,"climate_comment_213183",NA
"Climate Skeptic",0.85,"climate_comment_272915",NA
"Neutral/Unclear",0.85,"climate_comment_244027",NA
"Neutral/Unclear",0.75,"climate_comment_237771",NA
"Neutral/Unclear",0.75,"climate_comment_179662",NA
"Neutral/Unclear",0.95,"climate_comment_260630",NA
"Neutral/Unclear",0.95,"climate_comment_190554",NA
"Neutral/Unclear",0.9,"climate_comment_257601",NA
"Neutral/Unclear",0.85,"climate_comment_244600",NA
"Climate Believer",0.85,"climate_comment_209219",NA
"Neutral/Unclear",0.85,"climate_comment_260784",NA
"Neutral/Unclear",0.95,"climate_comment_228183",NA
"Climate Skeptic",0.95,"climate_comment_212286",NA
"Neutral/Unclear",0.95,"climate_comment_185462",NA
"Neutral/Unclear",0.85,"climate_comment_229717",NA
"Neutral/Unclear",0.9,"climate_comment_235505",NA
"Neutral/Unclear",0.75,"climate_comment_219858",NA
"Neutral/Unclear",0.85,"climate_comment_273722",NA
"Neutral/Unclear",0.85,"climate_comment_222347",NA
"Neutral/Unclear",0.85,"climate_comment_238996",NA
"Neutral/Unclear",0.85,"climate_comment_262942",NA
"Neutral/Unclear",0.85,"climate_comment_211686",NA
"Neutral/Unclear",0.95,"climate_comment_205875",NA
"Neutral/Unclear",0.85,"climate_comment_191522",NA
"Neutral/Unclear",0.85,"climate_comment_180658",NA
"Neutral/Unclear",0.9,"climate_comment_263426",NA
"Neutral/Unclear",0.75,"climate_comment_238994",NA
"Neutral/Unclear",0.75,"climate_comment_179894",NA
"Climate Skeptic",0.95,"climate_comment_268990",NA
"Neutral/Unclear",0.9,"climate_comment_256275",NA
"Neutral/Unclear",0.85,"climate_comment_263425",NA
"Neutral/Unclear",0.85,"climate_comment_233035",NA
"Neutral/Unclear",0.95,"climate_comment_233036",NA
"Neutral/Unclear",0.85,"climate_comment_228241",NA
"Neutral/Unclear",0.85,"climate_comment_269043",NA
"Neutral/Unclear",0.85,"climate_comment_216840",NA
"Neutral/Unclear",0.75,"climate_comment_217044",NA
"Neutral/Unclear",0.85,"climate_comment_233444",NA
"Climate Skeptic",0.85,"climate_comment_217168",NA
"Neutral/Unclear",0.85,"climate_comment_238226",NA
"Neutral/Unclear",0.85,"climate_comment_267314",NA
"Climate Believer",0.9,"climate_comment_264219",NA
"Neutral/Unclear",0.85,"climate_comment_217169",NA
"Neutral/Unclear",0.75,"climate_comment_207683",NA
"Neutral/Unclear",0.85,"climate_comment_209234",NA
"Neutral/Unclear",0.95,"climate_comment_267108",NA
"Neutral/Unclear",0.85,"climate_comment_237633",NA
"Neutral/Unclear",0.85,"climate_comment_274291",NA
"Neutral/Unclear",0.95,"climate_comment_256644",NA
"Neutral/Unclear",0.95,"climate_comment_203305",NA
"Neutral/Unclear",0.85,"climate_comment_172185",NA
"Climate Skeptic",0.85,"climate_comment_279882",NA
"Neutral/Unclear",0.95,"climate_comment_226011",NA
"Neutral/Unclear",0.85,"climate_comment_230285",NA
"Neutral/Unclear",0.85,"climate_comment_172919",NA
"Neutral/Unclear",0.95,"climate_comment_227867",NA
"Neutral/Unclear",0.9,"climate_comment_218851",NA
"Neutral/Unclear",0.95,"climate_comment_230286",NA
"Neutral/Unclear",0.9,"climate_comment_170714",NA
"Neutral/Unclear",0.9,"climate_comment_222956",NA
